Command,Mode,Script,Application,Repository,Title
debug application,NULL,"user.vscode(""workbench.action.debug.start"")",vscode,mystuff,NULL
start application,NULL,"user.vscode(""workbench.action.debug.run"")",vscode,mystuff,NULL
stop application,NULL,"user.vscode(""workbench.action.debug.stop"")",vscode,mystuff,NULL
step over,NULL,"user.vscode(""workbench.action.debug.stepOver"")",vscode,mystuff,NULL
step into,NULL,"user.vscode(""workbench.action.debug.stepInto"")",vscode,mystuff,NULL
step out,NULL,"user.vscode(""workbench.action.debug.stepOut"")",vscode,mystuff,NULL
continue,NULL,"user.vscode(""workbench.action.debug.continue"")",vscode,mystuff,NULL
restart (debugging),NULL,"user.vscode(""workbench.action.debug.restart"")",vscode,mystuff,NULL
toggle breakpoint,NULL,"user.vscode(""editor.debug.action.toggleBreakpoint"")",vscode,mystuff,NULL
bar debug,NULL,"user.vscode(""workbench.view.debug"")",vscode,mystuff,NULL
open talon log,NULL,"
user.vscode(""workbench.action.files.openFile"")
sleep(400ms)
insert(""C:\\Users\\MPhil\\AppData\\Roaming\\talon\\talon.log"")
sleep(100ms)
key(enter)",vscode,mystuff,NULL
reset code,NULL,"user.vscode(""workbench.action.debug.stop"")",vscode,mystuff,NULL
run test,NULL,"user.vscode(""dotnet.test.run"")",vscode,mystuff,NULL
cancel test run,NULL,"key(""ctrl-; ctrl-x"")",vscode,mystuff,NULL
edge search,NULL,"
user.vscode(""editor.action.selectAll"")
user.vscode(""editor.action.clipboardCopyAction"")
clipboard = clip.text()
#clipboard = user.replaced_text(clipboard, "" "", ""+"")
user.switcher_focus(""msedge.exe"")
key(ctrl-t)
sleep(600ms)
insert(clipboard)
sleep(100ms)
key(enter)",vscode,mystuff,NULL
find next [<user.text>],NULL,"
key(ctrl-f)
sleep(100ms)
insert(text or """")",vscode,mystuff,NULL
set selection,NULL,"user.vscode(""editor.action.setSelectionAnchor"")",vscode,mystuff,NULL
get selection,NULL,"user.vscode(""editor.action.goToSelectionAnchor"")",vscode,mystuff,NULL
cursor up,NULL,"user.vscode(""editor.action.insertCursorAbove"")",vscode,mystuff,NULL
cursor down,NULL,"user.vscode(""editor.action.insertCursorBelow"")",vscode,mystuff,NULL
list members,NULL,"user.vscode(""editor.action.triggerSuggest"")",vscode,mystuff,NULL
duplicate line,NULL,"user.vscode(""editor.action.copyLinesDownAction"")",vscode,mystuff,NULL
search code,NULL,"user.vscode(""actions.find"")",vscode,mystuff,NULL
Toggle bookmark one,NULL,"user.vscode(""numberedBookmarks.toggleBookmark1"")",vscode,mystuff,NULL
Toggle bookmark two,NULL,"user.vscode(""numberedBookmarks.toggleBookmark2"")",vscode,mystuff,NULL
Toggle bookmark three,NULL,"user.vscode(""numberedBookmarks.toggleBookmark3"")",vscode,mystuff,NULL
go bookmark one,NULL,"user.vscode(""numberedBookmarks.jumpToBookmark1"")",vscode,mystuff,NULL
go bookmark two,NULL,"user.vscode(""numberedBookmarks.jumpToBookmark2"")",vscode,mystuff,NULL
go bookmark three,NULL,"user.vscode(""numberedBookmarks.jumpToBookmark3"")",vscode,mystuff,NULL
if statement,NULL,"
user.vscode(""editor.action.insertSnippet"")
sleep(100ms)
insert(""if"")
key(enter)",vscode,mystuff,NULL
toggle sidebar,NULL,"user.vscode(""workbench.action.toggleSidebarVisibility"")",vscode,mystuff,NULL
toggle (panel | pain),NULL,"user.vscode(""workbench.action.togglePanel"")",vscode,mystuff,NULL
toggle zen mode,NULL,"user.vscode(""workbench.action.toggleZenMode"")",vscode,mystuff,NULL
execute query,NULL,"user.vscode(""mssql.runQuery"")",vscode,mystuff,NULL
object explorer focus,NULL,"user.vscode(""objectExplorer.focus"")",vscode,mystuff,NULL
query history,NULL,"user.vscode(""queryHistory.focus"")",vscode,mystuff,NULL
connections,NULL,"user.vscode(""workbench.view.connections"")",vscode,mystuff,NULL
copy code link,NULL,"
user.vscode(""gitlens.copyDeepLinkToLines"")",vscode,mystuff,NULL
take all,NULL,key(ctrl-a),vscode,mystuff,NULL
(new task) | (checkbox),NULL,key(ctrl-enter),vscode,mystuff,NULL
complete task,NULL,key(alt-d),vscode,mystuff,NULL
terminal in editor,NULL,"user.vscode(""workbench.action.createTerminalEditor"")",vscode,mystuff,NULL
terminal history,NULL,"user.vscode(""workbench.action.terminal.runRecentCommand"")",vscode,mystuff,NULL
terminal recent commands,NULL,"user.vscode(""workbench.action.terminal.runRecentCommand"")",vscode,mystuff,NULL
terminal recent directory,NULL,"user.vscode(""workbench.action.terminal.goToRecentDirectory"")",vscode,mystuff,NULL
remove tag,NULL,"user.vscode(""editor.emmet.action.removeTag"")",vscode,mystuff,NULL
update tag,NULL,"user.vscode(""editor.emmet.action.updateTag"")",vscode,mystuff,NULL
take tag,NULL,"user.vscode(""editor.emmet.action.balanceOut"")",vscode,mystuff,NULL
take next,NULL,"user.vscode(""editor.emmet.action.selectNextItem"")",vscode,mystuff,NULL
take previous,NULL,"user.vscode(""editor.emmet.action.selectPrevItem"")",vscode,mystuff,NULL
wrap with abbreviation,NULL,"user.vscode(""editor.emmet.action.wrapWithAbbreviation"")",vscode,mystuff,NULL
expand abbreviation,NULL,"user.vscode(""editor.emmet.action.expandAbbreviation"")",vscode,mystuff,NULL
balance (inward),NULL,"user.vscode(""editor.emmet.action.balanceIn"")",vscode,mystuff,NULL
balance (outward),NULL,"user.vscode(""editor.emmet.action.balanceOut"")",vscode,mystuff,NULL
toggle close tag,NULL,"user.vscode(""editor.emmet.action.splitJoinTag"")",vscode,mystuff,NULL
merge lines,NULL,"user.vscode(""editor.emmet.action.mergeLines"")",vscode,mystuff,NULL
toggle comment,NULL,"user.vscode(""editor.emmet.action.toggleComment"")",vscode,mystuff,NULL
pilot completions,NULL,"user.vscode(""github.copilot.completions.toggle"")",vscode,mystuff,NULL
pilot new chat,NULL,"
user.copilot_chat("""")
sleep(100ms)
key(ctrl-l)",vscode,mystuff,NULL
pilot ask,NULL,key(ctrl-i),vscode,mystuff,NULL
pilot toggle,NULL,"user.vscode(""github.copilot.toggleCopilot"")",vscode,mystuff,NULL
pilot accept [word],NULL,key(ctrl-right),vscode,mystuff,NULL
pilot edits,NULL,"user.vscode(""workbench.action.chat.openEditSession"")",vscode,mystuff,NULL
pilot chat workspace,NULL,"
user.copilot_chat("""")
sleep(300ms)
insert(""@workspace "")",vscode,mystuff,NULL
pilot chat file,NULL,"
user.copilot_chat("""")
sleep(300ms)
insert(""#f"")",vscode,mystuff,NULL
pilot chat fix error,NULL,"user.copilot_chat(""#selection How can I /fix this error"")",vscode,mystuff,NULL
pilot list commands,NULL,"
key(ctrl-shift-p)
sleep(100ms)
insert(""GitHub Copilot: "")",vscode,mystuff,NULL
pilot voice,NULL,"
user.vscode(""workbench.action.chat.startVoiceChat"")
speech.disable()",vscode,mystuff,NULL
add context,NULL,"user.vscode(""workbench.action.chat.editing.attachContext"")",vscode,mystuff,NULL
pilot next edit,NULL,"user.vscode(""chatEditor.action.navigateNext"")",vscode,mystuff,NULL
pilot previous edit,NULL,"user.vscode(""chatEditor.action.navigatePrevious"")",vscode,mystuff,NULL
pilot fix errors,NULL,"
key(ctrl-/)
sleep(100ms)
insert(""tools"")
sleep(100ms)
key(enter)
sleep(100ms)
insert(""last"")
sleep(100ms)
key(enter)
sleep(300ms)
insert(""Please can you look at the LAST terminal command and fix these errors for me?"")",vscode,mystuff,NULL
pilot fix warnings,NULL,"
key(ctrl-/)
sleep(100ms)
insert(""tools"")
sleep(100ms)
key(enter)
sleep(100ms)
insert(""last"")
sleep(100ms)
key(enter)
sleep(100ms)
insert(""Please can you look at the last terminal command and fix these warnings for me?"")",vscode,mystuff,NULL
add context,NULL,key(ctrl-/),vscode,mystuff,NULL
pick model,NULL,key(ctrl-alt-.),vscode,mystuff,NULL
set mode,NULL,key(ctrl-.),vscode,mystuff,NULL
select tools,NULL,key(ctrl-shift-/),vscode,mystuff,NULL
draft this,NULL,"
key(ctrl-a)
sleep(60ms)
key(ctrl-c)
sleep(60ms)
user.vscode(""welcome.showNewFileEntries"")
sleep(60ms)
key(enter)
sleep(60ms)
key(ctrl-v)",vscode,mystuff,NULL
fix errors,NULL,"
insert(""Please Fix All Build Errors and Warnings!"")
sleep(100ms)
key(enter)",vscode,mystuff,NULL
stop the agent,NULL,"
mouse_move(1872, 980)
mouse_click(0)",vscode,mystuff,NULL
CSV filter,NULL,"user.vscode(""rainbow-csv.RBQL"")",vscode,mystuff,NULL
toggle bold,NULL,"user.vscode(""markdown.extension.editing.toggleBold"")",vscode,mystuff,NULL
toggle code block,NULL,"user.vscode(""markdown.extension.editing.toggleCodeBlock"")",vscode,mystuff,NULL
toggle italic,NULL,"user.vscode(""markdown.extension.editing.toggleItalic"")",vscode,mystuff,NULL
toggle list,NULL,"user.vscode(""markdown.extension.editing.toggleList"")",vscode,mystuff,NULL
toggle strikethrough,NULL,"user.vscode(""markdown.extension.editing.toggleStrikethrough"")",vscode,mystuff,NULL
table of contents,NULL,"user.vscode(""markdown.extension.toc.create"")",vscode,mystuff,NULL
markdown preview,NULL,"user.vscode(""markdown.showPreview"")",vscode,mystuff,NULL
toggle task,NULL,"user.vscode(""markdown.extension.checkTaskList"")",vscode,mystuff,NULL
copy Github link,NULL,"user.vscode(""issue.copyGithubPermalink"")",vscode,mystuff,NULL
error lens toggle,NULL,"user.vscode(""errorLens.toggle"")",vscode,mystuff,NULL
explorer build,NULL,"
user.vscode(""solutionExplorer.focus"")
sleep(100ms)
key(menu)
sleep(100ms)
key(down:7)",vscode,mystuff,NULL
explorer debug,NULL,"
user.vscode(""solutionExplorer.focus"")
sleep(100ms)
key(menu)
sleep(100ms)
key(up:1)
sleep(100ms)
key(right)",vscode,mystuff,NULL
T4 for inject,NULL,"
insert(""<#= #>"")
key(left:2)",vscode,mystuff,NULL
make code bigger,NULL,"user.vscode(""editor.action.fontZoomIn"")",vscode,mystuff,NULL
make code smaller,NULL,"user.vscode(""editor.action.fontZoomOut"")",vscode,mystuff,NULL
keep changes,NULL,key(ctrl-enter),vscode,mystuff,NULL
send to pilot,NULL,"
key(shift-home)
sleep(30ms)
key(shift-right)
sleep(30ms)
key(ctrl-x)
sleep(30ms)
key(escape)
sleep(30ms)
insert(""please "")
sleep(30ms)
key(ctrl-v)",vscode,mystuff,NULL
copy only,NULL,key(alt-y),DictationBoxMSP,mystuff,NULL
find text,NULL,key(alt-f),DictationBoxMSP,mystuff,NULL
replace text,NULL,key(alt-r),DictationBoxMSP,mystuff,NULL
front size,NULL,key(alt-o),DictationBoxMSP,mystuff,NULL
clear,NULL,key(alt-c),DictationBoxMSP,mystuff,NULL
search,NULL,key(alt-s),DictationBoxMSP,mystuff,NULL
window,NULL,key(alt-w),DictationBoxMSP,mystuff,NULL
(closed tab) | (close tab),NULL,key(ctrl-w),microsoft_edge,mystuff,NULL
theatre mode,NULL,key(alt-t),microsoft_edge,mystuff,NULL
previous tab,NULL,key(ctrl-shift-tab),microsoft_edge,mystuff,NULL
next tab,NULL,key(ctrl-tab),microsoft_edge,mystuff,NULL
refresh page,NULL,key(f5),microsoft_edge,mystuff,NULL
skip ads,NULL,"
mouse_move(3546, 970)",microsoft_edge,mystuff,NULL
destroy drone,NULL,"
insert(""!drone -1"")
key(enter)",microsoft_edge,mystuff,NULL
start drone,NULL,"
insert(""!drone"")
key(enter)",microsoft_edge,mystuff,NULL
drone diagonal,NULL,"
insert(""!D56"")
sleep(100ms)
key(enter)
sleep(1000ms)
insert(""!R55"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
drone left,NULL,"
insert(""!L55"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
drone right,NULL,"
insert(""!R55"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
drone up,NULL,"
insert(""!U55"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
drone down,NULL,"
insert(""!D55"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
smoke on,NULL,"
insert(""!smokeon"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
smoke white,NULL,"
insert(""!smokecolor white"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
smoke red,NULL,"
insert(""!smokecolor red"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
smoke green,NULL,"
insert(""!smokecolor green"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
smoke blue,NULL,"
insert(""!smokecolor blue"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
smoke pink,NULL,"
insert(""!smokecolor pink"")
sleep(100ms)
key(enter)",microsoft_edge,mystuff,NULL
local host chan of custody,NULL,"
user.open_url(""https://localhost:44343/"")",microsoft_edge,mystuff,NULL
toggle voice,NULL,key(ctrl-shift-u),microsoft_edge,mystuff,NULL
pop out chat,NULL,"
key(alt-d right)
sleep(100ms)
key(shift-home)
sleep(100ms)
key(ctrl-c)
sleep(100ms)
key(ctrl-t)
sleep(200ms)
key(ctrl-v)
sleep(100ms)
insert(""/chat"")
sleep(200ms)
key(enter)
mimic(""tab split"")",microsoft_edge,mystuff,NULL
tab filter,NULL,key(ctrl-shift-a),microsoft_edge,mystuff,NULL
go [to] top,NULL,key(ctrl-home),microsoft_edge,mystuff,NULL
go [to] bottom,NULL,key(ctrl-end),microsoft_edge,mystuff,NULL
console focus,NULL,key(ctrl-l),microsoft_edge,mystuff,NULL
console toggle,NULL,key(ctrl-`),microsoft_edge,mystuff,NULL
